"ParasiteID","Mean T cell number","lambda0, 1/h","mu-lambda1,1/h"
1,4.8,42.097,8.847
2,0.,0.,0.01
3,2.2,19.908,9.201
4,4.8,93.912,19.418
5,2.,19.033,9.517
6,0.,0.,0.01
7,7.2,3.36,0.405
8,8.9,2.709,0.185
9,2.9,0.708,0.083
10,0.,0.051,2.41
11,1.,4.712,4.712
12,3.1,0.872,0.258
13,0.,0.,-2.829
14,0.1,0.,-2.736
15,0.,0.,0.01
16,0.,0.,0.01
17,2.6,2.79,1.084
18,3.,0.175,-0.098
19,3.3,14.586,4.481
20,1.4,0.087,-0.197
21,1.,7.522,7.522
22,0.2,0.284,1.559
23,5.5,0.704,-0.009
24,1.1,0.525,0.461
25,0.,0.,0.01
26,1.,5.857,5.857
27,0.2,0.,-2.042
28,0.7,0.016,-0.289
29,1.,4.821,4.821
30,0.,0.,0.01
31,0.,0.,0.01
32,0.,0.,0.01
